sentence,label,text_length,word_count,cleaned_text
"@anonymized_account @anonymized_account @anonymized_account A tak właściwie to co się dzieje z Majewską ? Kontuzja czy zakończyła kariere ? Chyba, że gdzieś gra :)",0,163,23,właściwie dziać majewska kontuzja zakończyć kariere chyba grać
Głódź jest mistrzem mistrzów w mistrzostwie zwanym  dostosuj się do warunków i zacznij doić,0,91,14,głódź mistrz mistrz mistrzostwo zwanym dostosuć warunki zacznij doić
@anonymized_account 😁😁😁😁😁😁😁😁 @anonymized_account teraz to mnie Pani ubawiła tym paskiem. A widziała Pani swoją szyję?,1,117,15,😁 😁 😁 😁 😁 😁 😁 😁 ubawić paskie widzieć swój szyja
"@anonymized_account @anonymized_account @anonymized_account Chłopie, a czy Ty i ktokolwiek z Kukiz15 cokolwiek rozumie...",0,121,13,chłopa kukiz15 rozumieć
@anonymized_account Uuuuu a co to za historia?,0,46,7,uuuuu historia
"@anonymized_account Dzisiaj wrócił do treningów, czyli zdążyli 😉",0,64,8,wrócić trening zdążyć 😉
"@anonymized_account Wszedzie wciskasz swojego kutasa, sam jesteś niewolnikiem i ty zatruwasz ludzi i traktujesz jak motłoch",1,123,16,wszedzie wciskać swój kutas być niewolniko zatruwać człowiek traktujesz motłoch
Nieodwracalne zmiany wykonawcy Kaliber 44\nhttps://t.co/OTQBfQnGRz,0,66,5,nieodwracalny zmiana wykonawca kaliber 44\nhttps://t.co otqbfqngrz
#WyborySamorządowe będą żniwa  #PlakatPolityczny 😉\n \u0026lt;zacieraręce\u0026gt; 🤗,0,84,7,wyborysamorządowy żniwy plakatpolityczny 😉 \n \u0026lt;zacieraręce\u0026gt 🤗
"GUYS BREAKING NEWS napisy w serialach/filmach nie są tylko dla samego tłumaczenia, ale też dla osób niedosłyszących",0,115,17,guys breaking news napis seriala film sam tłumaczenie osoba niedosłyszących
@anonymized_account @anonymized_account Jak będzie ta pioseneczka to przychodzę\n\nhttps://t.co/B6ak11mI4d,0,106,8,Pioseneczek przychodzę\n\nhttps://t.co b6ak11mi4d
@anonymized_account Jak nie znasz chłopcze sprawy to nie kompromituj się i nie siej fermentu.,0,93,14,znać chłopcze sprawa kompromitować si ferment
@anonymized_account @anonymized_account Brawo Wy!!!  Kupon wchodzi ;-),0,70,7,brawo kupon wchodzić
Ten przyglup jeszcze uruchomi slużby na Ryharda i biedak pójdzie siedzieć,0,73,11,przyglup uruchomy slużba ryhard biedak pójść siedzieć
"Żona Messiego to musi mieć teraz nerwy. Pasztety i warzywne sałatki do zrobienia, a ten se poszedł z kolegami grać w piłkę.",0,123,22,żona messiy mieć nerw pasztet warzywny sałatka zrobić se pójść kolega grać piłka
